@relation 'climate-change-7-weka.filters.unsupervised.attribute.Add-TNOM-NCategorize-LLow,Medium,High-Clast-weka.filters.unsupervised.attribute.Copy-Rfirst-3,5,6-10,last-weka.filters.unsupervised.attribute.Remove-R36-45-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Add-TNOM-NCategorize-LVery Low,Low,Medium,High,Very High-Clast-weka.filters.unsupervised.attribute.Remove-R2,10-11,13-18,25-27,29-30'

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric
@attribute Categorize {'Very Low',Low,Medium,High,'Very High'}

@data
Aruba,?,?,?,?,2288.208,21.683831,?,0.10493,?,?,100.179,94.6417,?,100,?,1.240534,105526,1.368877,49365.0628,'Very Low'
Andorra,?,?,?,?,539.049,6.527835,?,6.029112,3712034266.50674,41750,103.437,?,3.9,100,100,1.447878,82577,0.931892,73427.4684,'Very Low'
Afghanistan,1418.1,2.551583,?,?,814.074,0.025035,28.479977,0.433052,11757405532.5125,290,59.787,?,149.6,48,37,2.8313,32517656.318807,4.385285,7817244.579041,'Very Low'
Angola,729.9,1.994536,114.491899,630.636695,24370.882,1.351088,245.289667,12.399827,84178512502.4322,3420,?,?,168.2,50,57,2.882927,18037964,4.482962,10227525.588,'Very Low'
Albania,4081.1,7.392318,89.979548,649.924546,4176.713,1.312855,181.759715,9.789616,12968653524.7799,3820,?,?,19.9,97,98,0.36945,3181397,1.748783,1486348.6784,'Very Low'
'United Arab Emirates',3000,5.251086,240.509215,9409.651754,155066.429,24.984026,638.58776,5.619503,261347863149.485,?,?,?,7.9,100,97,13.819241,6206623,13.896312,4833717.9924,'Very Low'
Argentina,3927.1,2.977119,144.833259,1922.760639,192378.154,4.844053,364.881582,5.425435,326676673164.783,7190,105.033,105.40755,14.8,97,90,0.875629,39714298,1.093257,36537154.16,'Very Low'
Armenia,2386.4,8.021205,173.330175,973.201147,5548.171,1.801888,320.921963,7.991345,11662017844.8868,3340,103.518,?,21.7,96,90,0.15946,3079087,0.034264,1966304.9582,'Very Low'
'American Samoa',?,?,?,?,?,?,?,0.313254,?,?,?,?,?,?,?,1.655196,66217,2.02416,61131.5344,'Very Low'
'Antigua and Barbuda',1619,14.475733,?,?,447.374,5.149273,274.006432,7.011341,1203314814.81481,12990,94.358,102.57376,9,?,?,1.094817,86881,0.832522,26463.9526,Low
Australia,1696.5,4.548771,174.897114,6019.067609,399218.956,18.569619,539.580711,10.502659,1039415095376.83,41760,97.297,?,5.2,100,100,2.001429,21498500,2.204475,19077768.9,'Very Low'
Austria,6809.8,1.592155,110.976015,4016.596045,67725.823,8.123597,224.449847,22.922425,414670756948.768,46250,96.734,98.88993,4.5,100,100,0.434411,8336926,0.762525,5599079.5016,'Very Low'
Azerbaijan,2741.4,0.03194,189.707664,1522.132392,47139.285,5.379109,670.413583,7.147905,46258154819.8637,3790,99.015,90.73683,49.8,80,45,2.099854,8763400,2.369864,4549957.28,'Very Low'
Burundi,1318.3,0.327933,?,?,179.683,0.02262,62.902132,4.848842,1168900171.20255,140,91.321,45.20584,145.3,72,46,3.010917,7943385,5.937955,826112.04,'Very Low'
Belgium,8885.7,27.023236,162.999659,5469.581576,104879.867,9.792729,291.834306,0.885071,505373713699.784,45080,98.253,86.04568,4.6,100,100,0.789977,10709973,0.810521,10427229.7128,'Very Low'
Benin,1157.1,2.541396,278.256779,392.489451,4066.703,0.486682,345.034744,23.805451,6682744914.13769,730,?,65.13789,120.8,75,12,2.956237,8355980,3.931854,3442663.76,'Very Low'
'Burkina Faso',1039.8,1.894969,?,?,1855.502,0.119592,113.079118,13.905568,8045823005.29242,470,84.095,37.99923,179.6,76,11,2.970687,15515258,5.141315,3034784.4648,'Very Low'
Bangladesh,4102.2,1.269099,141.61157,192.061895,46526.896,0.31982,235.810637,1.641262,79554350677.7438,570,108.244,54.4916,53.9,80,53,1.051365,145478300,2.835798,39482810.62,'Very Low'
Bulgaria,4100.8,19.255447,216.09151,2594.208879,50538.594,6.629408,552.214105,9.066592,51824867626.646,5700,97.411,89.93236,13.9,100,100,-0.475937,7623395,-0.053103,5420233.845,'Very Low'
Bahrain,?,8.190691,369.797154,8784.7075,22478.71,21.360306,899.173966,1.349361,21902892583.9637,18730,101.198,97.83694,10.5,?,?,12.820373,1052359,12.865571,931548.1868,'Very Low'
Bahamas,2067.4,11.786346,?,?,2156.196,6.462236,263.615314,13.659092,7297903886,21660,101.171,94.71387,16.3,?,100,1.449034,333661,1.688268,279274.257,'Very Low'
'Bosnia and Herzegovina',4427,5.306777,211.729073,1583.14795,31275.843,8.286827,1108.274268,0.575448,18500599161.1744,4530,101.641,?,8.6,99,95,-0.128952,3774164,1.10118,1790463.4016,'Very Low'
Belarus,3554.6,3.588669,249.533046,2931.195793,62815.71,6.54194,556.916148,7.267989,60763483146.0674,5590,?,96.35613,7.2,100,93,-1.036064,9602000,-0.462684,7053629.2,'Very Low'
Belize,2428,12.487558,?,?,425.372,1.320621,212.042509,27.94805,1358700000,3740,101.05,99.27465,18.2,99,90,3.346272,322100,4.318097,166525.7,'Very Low'
